company_name,website,industry,funding_stage,funding_amount,location,employee_count,founded_year,description,source,score,funding_date,contact_email,linkedin
stagecaptions.io,https://www.producthunt.com/r/p/1069661?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Real-time captioning software for live events
          

Discussion
            |
            Link",Product Hunt,40,,,
GitBoard,https://www.producthunt.com/r/p/1074100?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Menubar mac app for Github Projects
          

Discussion
            |
            Link",Product Hunt,40,,,
Developer Docs Audit,https://www.producthunt.com/r/p/1073763?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Increase LLM visibility, signups and activated users
          

Discussion
            |
            Link",Product Hunt,40,,,
Fix Ugly PowerPoint by CubeOne,https://www.producthunt.com/r/p/1071410?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Who designed this?
          

Discussion
            |
            Link",Product Hunt,40,,,
LIAM,https://www.producthunt.com/r/p/1074959?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Email drafts in your voice + inbox organising + scheduling
          

Discussion
            |
            Link",Product Hunt,40,,,
Felsius,https://www.producthunt.com/r/p/1075373?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Never google “what’s 68°F in °C?” again
          

Discussion
            |
            Link",Product Hunt,40,,,
Skillkit,https://www.producthunt.com/r/p/1071813?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"The package manager for AI agent skills
          

Discussion
            |
            Link",Product Hunt,40,,,
PinMe,https://www.producthunt.com/r/p/1069841?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Zero-config frontend deployment with no servers or setup
          

Discussion
            |
            Link",Product Hunt,40,,,
Melina Studio ,https://www.producthunt.com/r/p/1068430?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Cursor for canvas
          

Discussion
            |
            Link",Product Hunt,40,,,
UX HeatGrid,https://www.producthunt.com/r/p/1074210?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Visualize user attention and content density in real time
          

Discussion
            |
            Link",Product Hunt,40,,,
Quash,https://www.producthunt.com/r/p/1075021?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"A mobile QA agent that runs tests without scripts
          

Discussion
            |
            Link",Product Hunt,40,,,
Nativeline,https://www.producthunt.com/r/p/1074948?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Build native Swift iPhone, iPad, and Mac apps with AI
          

Discussion
            |
            Link",Product Hunt,40,,,
Obooko,https://www.producthunt.com/r/p/1072004?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Free books to replace your doomscroll
          

Discussion
            |
            Link",Product Hunt,40,,,
InspireNote,https://www.producthunt.com/r/p/1072541?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Creative brainstorming card deck & notes app
          

Discussion
            |
            Link",Product Hunt,40,,,
NeuroBlock,https://www.producthunt.com/r/p/1068356?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"No-code AI Lab: Train models, access datasets, run inference
          

Discussion
            |
            Link",Product Hunt,40,,,
Gravity DMG,https://www.producthunt.com/r/p/1075045?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Sign, notarize, & design DMG packages for your macOS apps
          

Discussion
            |
            Link",Product Hunt,40,,,
VVTerm,https://www.producthunt.com/r/p/1064959?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Ghostty-powered SSH client for iOS, iPad, MacOS.
          

Discussion
            |
            Link",Product Hunt,40,,,
GesturePresent,https://www.producthunt.com/r/p/1073811?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Advance slides with gestures
          

Discussion
            |
            Link",Product Hunt,40,,,
Obi,https://www.producthunt.com/r/p/1067336?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"AI that runs your 1:1 onboarding calls
          

Discussion
            |
            Link",Product Hunt,40,,,
Model Council in Perplexity,https://www.producthunt.com/r/p/1074804?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Consult a council of multiple frontier models at once
          

Discussion
            |
            Link",Product Hunt,40,,,
Clema ,https://www.producthunt.com/r/p/1068748?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Your AI assistant for federal higher education data
          

Discussion
            |
            Link",Product Hunt,40,,,
Chamber: Autopilot for AI Infrastructure,https://www.producthunt.com/r/p/1072569?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Turning Idle GPUs Into Enterprise AI Velocity
          

Discussion
            |
            Link",Product Hunt,40,,,
Claude Opus 4.6,https://www.producthunt.com/r/p/1074139?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Claude’s most advanced model for agentic tasks
          

Discussion
            |
            Link",Product Hunt,40,,,
Echolon,https://www.producthunt.com/r/p/1071124?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Postman Alternative. Open source, git-native, zero login
          

Discussion
            |
            Link",Product Hunt,40,,,
Commentblocks,https://www.producthunt.com/r/p/1071875?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Allow clients to visually provide feedback without a login
          

Discussion
            |
            Link",Product Hunt,40,,,
Y Bombinator,https://www.producthunt.com/r/p/1073471?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"We Bombed 7 times, you shouldn't
          

Discussion
            |
            Link",Product Hunt,40,,,
ClawApp,https://www.producthunt.com/r/p/1074167?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"The easiest way to automate tasks with OpenClaw
          

Discussion
            |
            Link",Product Hunt,40,,,
Claw And Order,https://www.producthunt.com/r/p/1073983?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"The court of law for AI agents
          

Discussion
            |
            Link",Product Hunt,40,,,
BetterBugs MCP,https://www.producthunt.com/r/p/1072854?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Full bug context across all your tools for better debugging
          

Discussion
            |
            Link",Product Hunt,40,,,
Lums,https://www.producthunt.com/r/p/1016623?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Chat with your money and let Lums build your budget. 
          

Discussion
            |
            Link",Product Hunt,40,,,
Overlead,https://www.producthunt.com/r/p/1073886?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Find customers who are literally asking for your product
          

Discussion
            |
            Link",Product Hunt,40,,,
Magic Lasso Adblock for Apple TV,https://www.producthunt.com/r/p/1073140?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Block ads and trackers in your Apple TV's streaming apps
          

Discussion
            |
            Link",Product Hunt,40,,,
GPT-5.3-Codex,https://www.producthunt.com/r/p/1074633?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Expanding Codex to the full spectrum of computer work
          

Discussion
            |
            Link",Product Hunt,40,,,
NervePay,https://www.producthunt.com/r/p/1074069?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Give AI agents identity, secrets vault & analytics   
          

Discussion
            |
            Link",Product Hunt,40,,,
Field Theory,https://www.producthunt.com/r/p/1074214?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Capture twice the context in half the steps
          

Discussion
            |
            Link",Product Hunt,40,,,
Orange Slice,https://www.producthunt.com/r/p/1074207?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Claude Code for GTM
          

Discussion
            |
            Link",Product Hunt,40,,,
TabAI,https://www.producthunt.com/r/p/1071294?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Сollects your tasks from everywhere and keeps you focused
          

Discussion
            |
            Link",Product Hunt,40,,,
RentAHuman.ai,https://www.producthunt.com/r/p/1073904?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Get paid when AI agents need someone in the real world.
          

Discussion
            |
            Link",Product Hunt,40,,,
Molt Beach,https://www.producthunt.com/r/p/1072493?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"A million-pixel beach for AI agents — claim & animate pixels
          

Discussion
            |
            Link",Product Hunt,40,,,
LoopSuite,https://www.producthunt.com/r/p/1058666?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Replace your marketing team with AI
          

Discussion
            |
            Link",Product Hunt,40,,,
ScreenSorts,https://www.producthunt.com/r/p/1074127?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Search every screenshot, text, and detail privately
          

Discussion
            |
            Link",Product Hunt,40,,,
CyphrKey,https://www.producthunt.com/r/p/1074227?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"WisprFlow for vibe coders w/ voice shortcuts
          

Discussion
            |
            Link",Product Hunt,40,,,
BayesLab,https://www.producthunt.com/r/p/1066908?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"From deep analysis to premium slides, agentized
          

Discussion
            |
            Link",Product Hunt,40,,,
My Drawer,https://www.producthunt.com/r/p/1074628?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Open source, intelligent sidebar for MacOS
          

Discussion
            |
            Link",Product Hunt,40,,,
InfoBlog,https://www.producthunt.com/r/p/1069402?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Instantly transform text into visual stories in seconds
          

Discussion
            |
            Link",Product Hunt,40,,,
S3nding,https://www.producthunt.com/r/p/1074125?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"The fastest way to upload and share files from S3.
          

Discussion
            |
            Link",Product Hunt,40,,,
Webflow AI site builder,https://www.producthunt.com/r/p/1067260?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Turn a prompt into a production-ready site with Webflow
          

Discussion
            |
            Link",Product Hunt,40,,,
GitHub Agent HQ,https://www.producthunt.com/r/p/1073718?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Run Claude, Codex & Copilot directly in GitHub & VS Code
          

Discussion
            |
            Link",Product Hunt,40,,,
The new v0,https://www.producthunt.com/r/p/1072251?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Full stack vibe coding platform. Created by Vercel.
          

Discussion
            |
            Link",Product Hunt,40,,,
PopAir,https://www.producthunt.com/r/p/1072961?app_id=339,Tech/SaaS,Launch,Unknown,Global,Unknown,2026,"Your All-in-one AI Copilot for MacOS
          

Discussion
            |
            Link",Product Hunt,40,,,
